item,type,kanji,earn_rate,earning,area,ken,station
イカ丼屋,食品,1000万円,1000万円,100%,北海道,北海道,函館
イカ丼屋,食品,1000万円,1000万円,100%,北海道,北海道,函館
ラッキーバーガー,食品,5000万円,5000万円,100%,北海道,北海道,函館
演歌の親父記念館,観光,80億円,5億6000万円,7%,北海道,北海道,函館
お寿司屋,食品,1億円,400万円,4%,北海道,北海道,函館
海鮮市場,水産,8億円,3200万円,4%,北海道,北海道,函館
メロンゼリー屋,食品,1000万円,800万円,80%,北海道,北海道,砂川
メロンゼリー屋,食品,1000万円,800万円,80%,北海道,北海道,砂川
おかき屋,食品,1000万円,500万円,50%,北海道,北海道,砂川
とうきびチョコ工場,食品,10億円,7000万円,7%,北海道,北海道,砂川
バウムクーヘン屋,食品,1億円,400万円,4%,北海道,北海道,砂川
しめパフェ屋,食品,1000万円,800万円,80%,北海道,北海道,ススキノ
札幌ラーメン屋,食品,1000万円,800万円,80%,北海道,北海道,ススキノ
札幌ラーメン屋,食品,1000万円,800万円,80%,北海道,北海道,ススキノ
居酒屋,食品,1000万円,500万円,50%,北海道,北海道,ススキノ
カニ料理屋,食品,3億円,1200万円,4%,北海道,北海道,ススキノ
ジンギスカン屋,食品,5億円,1000万円,2%,北海道,北海道,ススキノ
ジンギスカン屋,食品,5億円,1000万円,2%,北海道,北海道,ススキノ
ビジネスホテル,観光,10億円,2000万円,2%,北海道,北海道,ススキノ
パンに塗るプリン屋,食品,1000万円,800万円,80%,北海道,北海道,長万部
でんぷんせんべい屋,食品,1000万円,500万円,50%,北海道,北海道,長万部
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,長万部
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,長万部
カニめし屋,食品,1億円,500万円,5%,北海道,北海道,長万部
カニ市場,水産,2億円,600万円,3%,北海道,北海道,長万部
カニ市場,水産,2億円,600万円,3%,北海道,北海道,長万部
カニ市場,水産,2億円,600万円,3%,北海道,北海道,長万部
おふくいも屋,食品,1000万円,800万円,80%,北海道,北海道,洞爺湖
おふくいも屋,食品,1000万円,800万円,80%,北海道,北海道,洞爺湖
サミットホテル,観光,700億円,21億円,3%,北海道,北海道,洞爺湖
火山博物館,観光,8億円,800万円,1%,北海道,北海道,洞爺湖
洞爺湖遊覧船,観光,30億円,3000万円,1%,北海道,北海道,洞爺湖
豚丼屋,食品,1000万円,800万円,80%,北海道,北海道,帯広
豚丼屋,食品,1000万円,800万円,80%,北海道,北海道,帯広
十勝あずき畑,農林,8000万円,800万円,10%,北海道,北海道,帯広
十勝あずき畑,農林,8000万円,800万円,10%,北海道,北海道,帯広
十勝あずき畑,農林,8000万円,800万円,10%,北海道,北海道,帯広
白樺クーヘン屋,食品,1億円,1000万円,10%,北海道,北海道,帯広
バターサンド屋,食品,3億円,3000万円,10%,北海道,北海道,帯広
乳牛牧場,農林,10億円,2000万円,2%,北海道,北海道,帯広
豚の焼き鳥屋,食品,1000万円,800万円,80%,北海道,北海道,室蘭
豚の焼き鳥屋,食品,1000万円,800万円,80%,北海道,北海道,室蘭
カレーラーメン屋,食品,1000万円,500万円,50%,北海道,北海道,室蘭
製鉄所,工業,30億円,6000万円,2%,北海道,北海道,室蘭
製鉄所,工業,30億円,6000万円,2%,北海道,北海道,室蘭
バター飴屋,食品,1000万円,800万円,80%,北海道,北海道,八雲
バター飴屋,食品,1000万円,800万円,80%,北海道,北海道,八雲
あわびラーメン屋,食品,1000万円,500万円,50%,北海道,北海道,八雲
あわびラーメン屋,食品,1000万円,500万円,50%,北海道,北海道,八雲
ウォーター工場,食品,1億円,200万円,2%,北海道,北海道,八雲
ご勝手ようかん屋,食品,1000万円,800万円,80%,北海道,北海道,江差
ご勝手ようかん屋,食品,1000万円,800万円,80%,北海道,北海道,江差
にしんそば屋,食品,1000万円,500万円,50%,北海道,北海道,江差
にしんそば屋,食品,1000万円,500万円,50%,北海道,北海道,江差
幕末軍艦丸記念館,観光,20億円,4000万円,2%,北海道,北海道,江差
旭川ラーメン屋,食品,1000万円,700万円,70%,北海道,北海道,旭川
旭川ラーメン屋,食品,1000万円,700万円,70%,北海道,北海道,旭川
ゲソ丼屋,食品,1000万円,500万円,50%,北海道,北海道,旭川
最北端動物園,観光,40億円,4億円,10%,北海道,北海道,旭川
氷の美術館,観光,10億円,3000万円,3%,北海道,北海道,旭川
ななつぼし水田,農林,1億円,200万円,2%,北海道,北海道,旭川
ななつぼし水田,農林,1億円,200万円,2%,北海道,北海道,旭川
パルプ工場,工業,80億円,1億6000万円,2%,北海道,北海道,旭川
昆布製品専門店,食品,1000万円,700万円,70%,北海道,北海道,小樽
ぱんじゅう屋,食品,1000万円,500万円,50%,北海道,北海道,小樽
チーズケーキ屋,食品,5億円,4000万円,8%,北海道,北海道,小樽
ざんぎ屋,食品,1億円,500万円,5%,北海道,北海道,小樽
スイーツ屋,食品,3億円,1500万円,5%,北海道,北海道,小樽
お寿司屋,食品,1億円,400万円,4%,北海道,北海道,小樽
オルゴール館,観光,2億円,600万円,3%,北海道,北海道,小樽
ガラス工房,観光,3億円,600万円,2%,北海道,北海道,小樽
浜鍋屋,食品,1000万円,500万円,50%,北海道,北海道,礼文
利尻昆布漁,水産,3億円,2100万円,7%,北海道,北海道,礼文
利尻昆布漁,水産,3億円,2100万円,7%,北海道,北海道,礼文
利尻昆布漁,水産,3億円,2100万円,7%,北海道,北海道,礼文
ニシン漁,水産,5億円,1000万円,2%,北海道,北海道,礼文
チュープリン屋,食品,1000万円,500万円,50%,北海道,北海道,天塩
シジミ漁,水産,1億円,400万円,4%,北海道,北海道,天塩
シジミ漁,水産,1億円,400万円,4%,北海道,北海道,天塩
シジミ漁,水産,1億円,400万円,4%,北海道,北海道,天塩
乳牛牧場,農林,3億円,600万円,2%,北海道,北海道,天塩
ひまわりグッズ屋,観光,1000万円,500万円,50%,北海道,北海道,名寄
にしん数の子屋,食品,1000万円,250万円,25%,北海道,北海道,名寄
にしん数の子屋,食品,1000万円,250万円,25%,北海道,北海道,名寄
ひまわり畑,農林,5000万円,150万円,3%,北海道,北海道,名寄
アスパラガス畑,農林,5000万円,150万円,3%,北海道,北海道,名寄
塩焼きそば屋,食品,1000万円,500万円,50%,北海道,北海道,北見
ハッカ工芸品屋,観光,1000万円,400万円,40%,北海道,北海道,北見
ハッカ工芸品屋,観光,1000万円,400万円,40%,北海道,北海道,北見
ハッカ工芸品屋,観光,1000万円,400万円,40%,北海道,北海道,北見
ビート畑,農林,5000万円,500万円,10%,北海道,北海道,北見
カーリング場,観光,5億円,5000万円,10%,北海道,北海道,北見
タマネギ畑,農林,3億円,1200万円,4%,北海道,北海道,北見
タマネギ畑,農林,3億円,1200万円,4%,北海道,北海道,北見
大雪山グッズ屋,観光,1000万円,500万円,50%,北海道,北海道,上川
上川ラーメン屋,食品,1000万円,500万円,50%,北海道,北海道,上川
層雲峡温泉郷,観光,80億円,1億6000万円,2%,北海道,北海道,上川
大雪高原牛牧場,農林,3億円,300万円,1%,北海道,北海道,上川
ニジマス養殖場,水産,4億円,400万円,1%,北海道,北海道,上川
ハッカ工芸品屋,観光,1000万円,500万円,50%,北海道,北海道,遠軽
ハッカ工芸品屋,観光,1000万円,500万円,50%,北海道,北海道,遠軽
白滝ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,遠軽
アスパラガス畑,農林,8000万円,400万円,5%,北海道,北海道,遠軽
アスパラガス畑,農林,8000万円,400万円,5%,北海道,北海道,遠軽
材木工場,農林,2億円,1000万円,5%,北海道,北海道,遠軽
レトルトカレー工場,食品,1億円,300万円,3%,北海道,北海道,遠軽
おかず味噌屋,食品,1000万円,500万円,50%,北海道,北海道,美幌
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,美幌
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,美幌
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,美幌
ジャガイモ畑,農林,5000万円,250万円,5%,北海道,北海道,美幌
ニポポ人形屋,観光,1000万円,500万円,50%,北海道,北海道,網走
木彫り熊屋,観光,1000万円,400万円,40%,北海道,北海道,網走
山わさび畑,農林,1億円,200万円,2%,北海道,北海道,網走
ワカサギ漁,水産,1億円,200万円,2%,北海道,北海道,網走
エゾバフンウニ漁,水産,10億円,2000万円,2%,北海道,北海道,網走
エゾバフンウニ漁,水産,10億円,2000万円,2%,北海道,北海道,網走
エゾバフンウニ漁,水産,10億円,2000万円,2%,北海道,北海道,網走
流氷記念館,観光,20億円,2000万円,1%,北海道,北海道,網走
オムカレー屋,食品,1000万円,500万円,50%,北海道,北海道,富良野
タマネギ畑,農林,2億円,1000万円,5%,北海道,北海道,富良野
純白トウモロコシ畑,農林,5億円,2500万円,5%,北海道,北海道,富良野
ラベンダー畑,農林,1億円,400万円,4%,北海道,北海道,富良野
ラベンダー畑,農林,1億円,400万円,4%,北海道,北海道,富良野
黒小玉スイカ,農林,2億円,600万円,3%,北海道,北海道,富良野
富良野ワイン工場,食品,10億円,2000万円,2%,北海道,北海道,富良野
スキー場,観光,70億円,7000万円,1%,北海道,北海道,富良野
エスカロップ屋,食品,1000万円,500万円,50%,北海道,北海道,根室
エスカロップ屋,食品,1000万円,500万円,50%,北海道,北海道,根室
オランダせんべい屋,食品,1000万円,500万円,50%,北海道,北海道,根室
花咲ガニ漁,水産,10億円,7000万円,7%,北海道,北海道,根室
花咲ガニ漁,水産,10億円,7000万円,7%,北海道,北海道,根室
花咲ガニ漁,水産,10億円,7000万円,7%,北海道,北海道,根室
サンマ漁船団,水産,4億円,800万円,2%,北海道,北海道,根室
サンマ漁船団,水産,4億円,800万円,2%,北海道,北海道,根室
じゃがバター屋,食品,1000万円,500万円,50%,北海道,北海道,ニセコ
スキー場,観光,80億円,4億円,5%,北海道,北海道,ニセコ
スキー場,観光,80億円,4億円,5%,北海道,北海道,ニセコ
スキー場,観光,80億円,4億円,5%,北海道,北海道,ニセコ
スキー場,観光,80億円,4億円,5%,北海道,北海道,ニセコ
ホッキ丼屋,食品,1000万円,500万円,50%,北海道,北海道,苫小牧
ホッキ丼屋,食品,1000万円,500万円,50%,北海道,北海道,苫小牧
ホッキカレー屋,食品,1000万円,500万円,50%,北海道,北海道,苫小牧
ホッキ貝料理屋,食品,3000万円,1500万円,50%,北海道,北海道,苫小牧
製紙工場,工業,40億円,8000万円,2%,北海道,北海道,苫小牧
製紙工場,工業,40億円,8000万円,2%,北海道,北海道,苫小牧
アルミ精錬工場,工業,50億円,5000万円,1%,北海道,北海道,苫小牧
石油化学工場,工業,80億円,8000万円,1%,北海道,北海道,苫小牧
タコしゃぶ屋,食品,1000万円,250万円,25%,北海道,北海道,稚内
タラバガニ漁,水産,10億円,2000万円,2%,北海道,北海道,稚内
稚内牛牧場,農林,16億円,3200万円,2%,北海道,北海道,稚内
ホッケ漁,水産,3億円,300万円,1%,北海道,北海道,稚内
ホッケ漁,水産,3億円,300万円,1%,北海道,北海道,稚内
ホッケ漁,水産,3億円,300万円,1%,北海道,北海道,稚内
砂金アイス屋,食品,1000万円,250万円,25%,北海道,北海道,浜頓別
毛蟹漁,水産,8億円,1600万円,2%,北海道,北海道,浜頓別
乳牛牧場,農林,3億円,300万円,1%,北海道,北海道,浜頓別
ホタテ貝漁,水産,4億円,400万円,1%,北海道,北海道,浜頓別
砂金パーク,観光,6億円,600万円,1%,北海道,北海道,浜頓別
バナナまんじゅう屋,食品,1000万円,250万円,25%,北海道,北海道,池田
インゲンマメ畑,農林,5000万円,250万円,5%,北海道,北海道,池田
ブドウ園,農林,8000万円,400万円,5%,北海道,北海道,池田
ブドウ園,農林,8000万円,400万円,5%,北海道,北海道,池田
十勝ワイン工場,食品,40億円,4000万円,1%,北海道,北海道,池田
牧場,農林,8億円,1億1200万円,14%,北海道,北海道,襟裳
日高昆布漁,水産,3億円,3000万円,10%,北海道,北海道,襟裳
日高昆布漁,水産,3億円,3000万円,10%,北海道,北海道,襟裳
シャケ加工工場,水産,1億円,200万円,2%,北海道,北海道,襟裳
突風博物館,観光,15億円,1500万円,1%,北海道,北海道,襟裳
羅臼昆布漁,水産,10億円,1億円,10%,北海道,北海道,羅臼
羅臼昆布漁,水産,10億円,1億円,10%,北海道,北海道,羅臼
羅臼昆布漁,水産,10億円,1億円,10%,北海道,北海道,羅臼
ぶどうエビ漁,水産,5億円,4000万円,8%,北海道,北海道,羅臼
ぶどうエビ漁,水産,5億円,4000万円,8%,北海道,北海道,羅臼
アスパラガス畑,農林,2億円,2000万円,10%,北海道,北海道,美瑛
アスパラガス畑,農林,2億円,2000万円,10%,北海道,北海道,美瑛
ジャガイモ畑,農林,5億円,2500万円,5%,北海道,北海道,美瑛
ジャガイモ畑,農林,5億円,2500万円,5%,北海道,北海道,美瑛
ポテトスナック工場,食品,50億円,2億5000万円,5%,北海道,北海道,美瑛
タマネギ畑,農林,1億円,400万円,4%,北海道,北海道,美瑛
美瑛石工場,工業,3億円,300万円,1%,北海道,北海道,美瑛
農機工場,工業,28億円,2800万円,1%,北海道,北海道,美瑛
ホタテ漁,水産,3億円,2400万円,8%,北海道,北海道,紋別
ホタテ漁,水産,3億円,2400万円,8%,北海道,北海道,紋別
スケトウダラ漁,水産,2億円,1000万円,5%,北海道,北海道,紋別
毛ガニ漁,水産,8億円,3200万円,4%,北海道,北海道,紋別
流氷ガリガリ号,観光,10億円,2000万円,2%,北海道,北海道,紋別
トウモロコシ畑,農林,10億円,8000万円,8%,北海道,北海道,芽室
トウモロコシ畑,農林,10億円,8000万円,8%,北海道,北海道,芽室
トウモロコシ畑,農林,10億円,8000万円,8%,北海道,北海道,芽室
枝豆畑,農林,3億円,1500万円,5%,北海道,北海道,芽室
枝豆畑,農林,3億円,1500万円,5%,北海道,北海道,芽室
マグロ漁,水産,8億円,5600万円,7%,北海道,北海道,余市
マグロ漁,水産,8億円,5600万円,7%,北海道,北海道,余市
リンゴ園,農林,1億円,400万円,4%,北海道,北海道,余市
リンゴ園,農林,1億円,400万円,4%,北海道,北海道,余市
リンゴ園,農林,1億円,400万円,4%,北海道,北海道,余市
リンゴ園,農林,1億円,400万円,4%,北海道,北海道,余市
宇宙博物館,観光,5億円,2000万円,4%,北海道,北海道,余市
ウィスキー工場,食品,80億円,3億2000万円,4%,北海道,北海道,余市
ホエー豚農場,農林,3億円,2100万円,7%,北海道,北海道,中札内
ホエー豚農場,農林,3億円,2100万円,7%,北海道,北海道,中札内
生キャラメル工場,食品,1億円,500万円,5%,北海道,北海道,中札内
チーズ工房,食品,2億円,800万円,4%,北海道,北海道,中札内
チーズ工房,食品,2億円,800万円,4%,北海道,北海道,中札内
オーロラハウス,観光,3000万円,150万円,5%,北海道,北海道,陸別
オーロラハウス,観光,3000万円,150万円,5%,北海道,北海道,陸別
天文台,観光,10億円,1000万円,1%,北海道,北海道,陸別
乳牛牧場,農林,3億円,1500万円,5%,北海道,北海道,足寄
乳牛牧場,農林,3億円,1500万円,5%,北海道,北海道,足寄
化石博物館,観光,5億円,500万円,1%,北海道,北海道,足寄
カズノコ工場,水産,10億円,4000万円,4%,北海道,北海道,留萌
カズノコ工場,水産,10億円,4000万円,4%,北海道,北海道,留萌
ボタンエビ漁,水産,5億円,1000万円,2%,北海道,北海道,留萌
ボタンエビ漁,水産,5億円,1000万円,2%,北海道,北海道,留萌
ボタンエビ漁,水産,5億円,1000万円,2%,北海道,北海道,留萌
越冬キャベツ畑,農林,4億円,1600万円,4%,北海道,北海道,和寒
越冬キャベツ畑,農林,4億円,1600万円,4%,北海道,北海道,和寒
カボチャ畑,農林,3億円,900万円,3%,北海道,北海道,和寒
カボチャ畑,農林,3億円,900万円,3%,北海道,北海道,和寒
カボチャ畑,農林,3億円,900万円,3%,北海道,北海道,和寒
ボタンエビ漁,水産,8億円,3200万円,4%,北海道,北海道,増毛
ボタンエビ漁,水産,8億円,3200万円,4%,北海道,北海道,増毛
ボタンエビ漁,水産,8億円,3200万円,4%,北海道,北海道,増毛
北海ミズダコ漁,水産,4億円,800万円,2%,北海道,北海道,増毛
北海ミズダコ漁,水産,4億円,800万円,2%,北海道,北海道,増毛
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,中標津
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,中標津
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,中標津
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,中標津
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,中標津
日本旅館,観光,5億円,1000万円,2%,北海道,北海道,定山渓
日本旅館,観光,5億円,1000万円,2%,北海道,北海道,定山渓
リゾートホテル,観光,10億円,2000万円,2%,北海道,北海道,定山渓
リゾートホテル,観光,10億円,2000万円,2%,北海道,北海道,定山渓
リゾートホテル,観光,10億円,2000万円,2%,北海道,北海道,定山渓
登別温泉,観光,2億円,400万円,2%,北海道,北海道,登別
登別温泉,観光,2億円,400万円,2%,北海道,北海道,登別
クマ牧場,観光,1億円,100万円,1%,北海道,北海道,登別
水族館,観光,6億円,600万円,1%,北海道,北海道,登別
戦国パーク,観光,10億円,1000万円,1%,北海道,北海道,登別
揚げ鯛焼き屋,食品,1000万円,5000万円,500%,東北,青森県,五所川原
しじみラーメン屋,食品,1000万円,1000万円,100%,東北,青森県,五所川原
中華ざる屋,食品,1000万円,800万円,80%,東北,青森県,五所川原
やってまれ丼屋,食品,1000万円,500万円,50%,東北,青森県,五所川原
リンゴ園,農林,8000万円,800万円,10%,東北,青森県,五所川原
リンゴ園,農林,8000万円,800万円,10%,東北,青森県,五所川原
立ちねぷた記念館,観光,32億円,1億6000万円,5%,東北,青森県,五所川原
津軽金山焼き工房,商業,1億円,300万円,3%,東北,青森県,五所川原
まぐろ丼屋,食品,1000万円,1000万円,100%,東北,青森県,大間
まぐろ丼屋,食品,1000万円,1000万円,100%,東北,青森県,大間
まぐろ丼屋,食品,1000万円,1000万円,100%,東北,青森県,大間
マグロＴシャツ屋,観光,1000万円,500万円,50%,東北,青森県,大間
マグロ漁船団,水産,8億円,8000万円,10%,東北,青森県,大間
マグロ漁船団,水産,8億円,8000万円,10%,東北,青森県,大間
マグロ漁船団,水産,8億円,8000万円,10%,東北,青森県,大間
青森ヒバ木工所,農林,1億円,400万円,4%,東北,青森県,大間
強烈ギョーザ店,食品,1000万円,1000万円,100%,東北,青森県,青森
みそカレー牛乳麺屋,食品,1000万円,1000万円,100%,東北,青森県,青森
ゆで麺焼きそば屋,食品,1000万円,1000万円,100%,東北,青森県,青森
ゆで麺焼きそば屋,食品,1000万円,1000万円,100%,東北,青森県,青森
りんごパイ屋,食品,1000万円,800万円,80%,東北,青森県,青森
焼き干しラーメン屋,食品,1000万円,800万円,80%,東北,青森県,青森
青森県観光物産館,観光,45億円,1億3500万円,3%,東北,青森県,青森
白い美術館,観光,120億円,1億2000万円,1%,東北,青森県,青森
津軽そば屋,食品,1000万円,1000万円,100%,東北,青森県,弘前
嶽きみプリン屋,食品,8000万円,8000万円,100%,東北,青森県,弘前
ピンクいなり寿司屋,食品,1000万円,700万円,70%,東北,青森県,弘前
アップルパイ屋,食品,1000万円,500万円,50%,東北,青森県,弘前
海鮮太巻き寿司屋,食品,2億円,2000万円,10%,東北,青森県,弘前
嶽きみ畑,農林,1億円,700万円,7%,東北,青森県,弘前
嶽きみ畑,農林,1億円,700万円,7%,東北,青森県,弘前
青天のへきれき水田,農林,2億円,1400万円,7%,東北,青森県,弘前
つゆ焼きそば屋,食品,1000万円,1000万円,100%,東北,青森県,黒石
つゆ焼きそば屋,食品,1000万円,1000万円,100%,東北,青森県,黒石
黒石焼きそば屋,食品,1000万円,800万円,80%,東北,青森県,黒石
黒石焼きそば屋,食品,1000万円,800万円,80%,東北,青森県,黒石
青天のへきれき水田,農林,2億円,1400万円,7%,東北,青森県,黒石
バラ焼き屋,食品,1000万円,1000万円,100%,東北,青森県,三沢
バラ焼き屋,食品,1000万円,1000万円,100%,東北,青森県,三沢
バラ焼き屋,食品,1000万円,1000万円,100%,東北,青森県,三沢
バラ焼き屋,食品,1000万円,1000万円,100%,東北,青森県,三沢
古牧温泉旅館,観光,20億円,4000万円,2%,東北,青森県,三沢
航空博物館,観光,30億円,6000万円,2%,東北,青森県,三沢
劇団詩人記念館,観光,10億円,1000万円,1%,東北,青森県,三沢
アメリカ村の町並み,観光,50億円,5000万円,1%,東北,青森県,三沢
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,竜飛
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,竜飛
イカ料理屋,食品,1億円,400万円,4%,東北,青森県,竜飛
青函トンネル記念館,観光,10億円,1000万円,1%,東北,青森県,竜飛
津軽海峡ホテル,観光,15億円,1500万円,1%,東北,青森県,竜飛
イカずし屋,食品,1000万円,800万円,80%,東北,青森県,むつ
イカずし屋,食品,1000万円,800万円,80%,東北,青森県,むつ
海軍コロッケ屋,食品,1000万円,500万円,50%,東北,青森県,むつ
フライボール屋,食品,1000万円,500万円,50%,東北,青森県,むつ
飲むヨーグルト工場,食品,3億円,2100万円,7%,東北,青森県,むつ
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,金木
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,金木
津軽三味線スナック,食品,3000万円,1500万円,50%,東北,青森県,金木
地吹雪ツアー会社,観光,1億円,200万円,2%,東北,青森県,金木
斜陽記念館,観光,14億円,2800万円,2%,東北,青森県,金木
南部せんべい屋,食品,1000万円,800万円,80%,東北,青森県,三戸
飲むヨーグルト工場,食品,10億円,2億5000万円,25%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
菜の花ドーナツ屋,食品,1000万円,500万円,50%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
南部せんべい屋,食品,1000万円,500万円,50%,東北,青森県,八戸
南部せんべい屋,食品,1000万円,500万円,50%,東北,青森県,八戸
バナナサイダー工場,食品,3億円,900万円,3%,東北,青森県,八戸
みろく横丁,食品,8億円,2400万円,3%,東北,青森県,八戸
駅前観光物産館,商業,10億円,2000万円,2%,東北,青森県,八戸
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
